"","year","app","taxon","class","order","family","genus","importer","exporter","origin","importer_reported_quantity","exporter_reported_quantity","term","unit","purpose","source"
"1",2021,"I","Megaptera novaeangliae","Mammalia","Cetacea","Balaenopteridae","Megaptera","AU","CO",NA,NA,22,"oil",NA,"S","W"
"2",2021,"I","Megaptera novaeangliae","Mammalia","Cetacea","Balaenopteridae","Megaptera","AU","CO",NA,NA,22,"skins",NA,"S","W"
"3",2021,"I","Caretta caretta","Reptilia","Testudines","Cheloniidae","Caretta","GB","CV",NA,NA,2183,"specimens",NA,"S","W"
"4",2021,"I","Crocodylus acutus","Reptilia","Crocodylia","Crocodylidae","Crocodylus","CZ","CO",NA,NA,10,"skins",NA,"T","D"
"5",2021,"I","Crocodylus acutus","Reptilia","Crocodylia","Crocodylidae","Crocodylus","DE","CO",NA,NA,57,"skulls",NA,"T","D"
"6",2021,"I","Crocodylus acutus","Reptilia","Crocodylia","Crocodylidae","Crocodylus","FR","BZ",NA,NA,40,"specimens","Number of specimens","S","W"
"7",2021,"I","Crocodylus intermedius","Reptilia","Crocodylia","Crocodylidae","Crocodylus","MX","CO",NA,NA,288,"specimens",NA,"S","F"
"8",2021,"I","Loxodonta africana","Mammalia","Proboscidea","Elephantidae","Loxodonta","US","CD",NA,NA,75,"ivory pieces","g","L","W"
"9",2021,"I","Falco hybrid","Aves","Falconiformes","Falconidae","Falco","BG","QA","ES",5,NA,"live",NA,"B","C"
"10",2021,"I","Falco hybrid","Aves","Falconiformes","Falconidae","Falco","IQ","ES","XX",10,NA,"live",NA,"Z","C"
"11",2021,"I","Falco peregrinus","Aves","Falconiformes","Falconidae","Falco","BG","BH","DK",1,NA,"live",NA,"T","C"
"12",2021,"I","Leopardus tigrinus","Mammalia","Carnivora","Felidae","Leopardus","KR","CO",NA,NA,2,"specimens",NA,"S",NA
"13",2021,"I","Panthera onca","Mammalia","Carnivora","Felidae","Panthera","IQ","ZA","XX",7,NA,"live",NA,"Z","C"
"14",2021,"I","Panthera pardus","Mammalia","Carnivora","Felidae","Panthera","ES","ET",NA,NA,1,"trophies",NA,"H","W"
"15",2021,"I","Panthera pardus","Mammalia","Carnivora","Felidae","Panthera","FI","RU",NA,1,NA,"live",NA,"Z","F"
"16",2021,"I","Panthera pardus","Mammalia","Carnivora","Felidae","Panthera","MX","ET",NA,NA,1,"trophies",NA,"H","W"
"17",2021,"I","Panthera tigris","Mammalia","Carnivora","Felidae","Panthera","IQ","ZA","XX",5,NA,"live",NA,"Z","C"
"18",2021,"I","Balearica pavonina","Aves","Gruiformes","Gruidae","Balearica","QA","SD",NA,NA,10,"live",NA,NA,"W"
"19",2021,"I","Balearica pavonina","Aves","Gruiformes","Gruidae","Balearica","RU","SD",NA,NA,6,"live",NA,NA,"W"
"20",2021,"I","Dalbergia nigra",NA,"Fabales","Leguminosae","Dalbergia","US","FI","BR",NA,0.32,"wood product","kg","T","O"
"21",2021,"I","Lutra lutra","Mammalia","Carnivora","Mustelidae","Lutra","FI","CH",NA,1,NA,"live",NA,"Z","C"
"22",2021,"I","Psittacus erithacus","Aves","Psittaciformes","Psittacidae","Psittacus","BZ","US",NA,1,NA,"live","Number of specimens","P","F"
"23",2021,"I","Psittacus erithacus","Aves","Psittaciformes","Psittacidae","Psittacus","CV","AO",NA,4,NA,"live",NA,"P","O"
"24",2021,"I","Psittacus erithacus","Aves","Psittaciformes","Psittacidae","Psittacus","US","BG",NA,NA,1,"live",NA,"P","C"
"25",2021,"I","Struthio camelus","Aves","Struthioniformes","Struthionidae","Struthio","BJ","BF",NA,NA,1,"live","Number of specimens","B","R"
"26",2021,"I","Trichechus manatus","Mammalia","Sirenia","Trichechidae","Trichechus","BZ","GT",NA,1,NA,"live","Number of specimens","S","W"
"27",2021,"II","Stephanoaetus coronatus","Aves","Falconiformes","Accipitridae","Stephanoaetus","US","CD",NA,NA,5,"live","Number of specimens","T","W"
"28",2021,"II","Acipenser baerii","Actinopteri","Acipenseriformes","Acipenseridae","Acipenser","MO","FR",NA,1,NA,"caviar","kg","T","C"
"29",2021,"II","Acipenser baerii","Actinopteri","Acipenseriformes","Acipenseridae","Acipenser","SG","MO","CH",NA,0.0195,"cosmetics","g","T","C"
"30",2021,"II","Acipenser gueldenstaedtii","Actinopteri","Acipenseriformes","Acipenseridae","Acipenser","MO","FR","IT",5.4,NA,"caviar","kg","T","C"
"31",2021,"II","Acipenser gueldenstaedtii","Actinopteri","Acipenseriformes","Acipenseridae","Acipenser","UA","BG",NA,NA,195,"live",NA,"T","C"
"32",2021,"II","Huso dauricus x acipenser schrenckii","Actinopteri","Acipenseriformes","Acipenseridae","Huso","MO","FR","CN",13,NA,"caviar","kg","T","C"
"33",2021,"II","Acropora cervicornis","Anthozoa","Scleractinia","Acroporidae","Acropora","US","BZ",NA,NA,17,"raw corals","Number of specimens","S","W"
"34",2021,"II","Acropora palmata","Anthozoa","Scleractinia","Acroporidae","Acropora","US","BZ",NA,NA,13,"raw corals","Number of specimens","S","W"
"35",2021,"II","Acropora prolifera","Anthozoa","Scleractinia","Acroporidae","Acropora","US","BZ",NA,NA,4,"raw corals","Number of specimens","S","W"
"36",2021,"II","Uromastyx dispar","Reptilia","Sauria","Agamidae","Uromastyx","JP","SD",NA,NA,170,"live",NA,NA,"W"
