Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2012,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AE,ES,XX,,3,carvings,,T,O
2012,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AE,GB,XX,,1,carvings,,Q,O
2012,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AE,GB,,1,,ivory pieces,,Q,O
2012,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AE,ZA,XX,12,,trophies,,P,W
2012,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AL,US,XX,,1,ivory carvings,,T,O
2012,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AO,PT,AO,,1,carvings,,L,I
2012,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AR,CM,,1,,trophies,,H,W
2012,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AR,GB,XX,,2,carvings,,T,O
2012,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AR,MZ,,,2,feet,,H,W
2012,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AR,MZ,,,1,tails,,H,W
2012,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AR,MZ,,1,,trophies,,H,W
2012,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AR,MZ,,2,4,tusks,,H,W
2012,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AT,BW,,2,,ears,,H,W
2012,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AT,BW,,10,,feet,,H,W
2012,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AT,BW,,4,,feet,,P,W
2012,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AT,BW,,6,,skins,,H,W
2012,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AT,BW,,4,,skins,,P,W
2012,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AT,BW,,8,,skin pieces,,H,W
2012,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AT,BW,,5,,tails,,H,W
2012,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AT,BW,,2,,teeth,,H,W
2012,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AT,BW,,12,,tusks,,H,W
2012,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AT,CH,XX,,3,ivory carvings,,E,O
2012,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AT,CN,NG,,6,ivory carvings,,E,O
2012,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AT,LI,XX,1,,ivory carvings,,E,O
2012,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AT,MX,XX,,1,ivory carvings,,P,O
2012,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AT,NZ,XX,,125,carvings,,P,O
2012,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AT,ZM,,2,,tusks,,H,W
2012,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AU,DE,XX,,1,carvings,,P,O
2012,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AU,ES,XX,,3,carvings,,T,O
2012,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AU,FR,XX,,1,carvings,,Q,O
2012,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AU,GB,XX,,106,carvings,,P,O
2012,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AU,GB,XX,,6,carvings,,Q,O
2012,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AU,GB,XX,,294,carvings,,T,O
2012,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AU,GB,XX,,1,feet,,T,O
