Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,AR,US,,4,,trophies,,H,W
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,AR,ZA,XX,,6,trophies,,H,W
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,AR,ZA,,2,1,trophies,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,AT,ZA,,1,5,trophies,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,AU,LS,,,3,trophies,,,
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,US,,4,,bodies,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,US,,1,,horns,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,US,,1,,skins,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,US,,,2,trophies,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,ZA,XX,1,,bodies,,H,W
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,ZA,XX,2,,horns,,H,W
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,ZA,XX,1,,skins,,H,W
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,ZA,XX,1,,skulls,,H,W
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,ZA,XX,,3,trophies,,P,W
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,ZA,,1,,bodies,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CL,ZA,,1,,trophies,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CZ,ZA,XX,,2,trophies,,H,W
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CZ,ZA,,2,4,trophies,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,DK,ZA,XX,,2,trophies,,H,W
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,DK,ZA,,2,8,trophies,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ES,MX,,1,,bodies,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ES,MX,,,1,trophies,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ES,ZA,XX,,6,trophies,,H,W
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ES,ZA,,,2,bodies,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ES,ZA,,,1,horns,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ES,ZA,,,1,skins,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ES,ZA,,20,45,trophies,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,FI,ZA,XX,,1,skins,,H,W
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,FI,ZA,,1,,trophies,,H,W
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,FR,US,,1,,trophies,,P,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,FR,ZA,XX,,2,trophies,,H,W
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,FR,ZA,,,4,skins,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,FR,ZA,,,3,trophies,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,FR,ZA,,5,,trophies,,P,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,FR,ZA,,1,,trophies,,P,W
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,GB,AE,,,40,specimens,,S,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,GB,ZA,,1,,bodies,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,GB,ZA,,,2,trophies,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,HU,ZA,,5,10,trophies,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ID,PL,,,7,live,,Z,C
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,IT,ZA,XX,,4,skins,,H,W
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,IT,ZA,XX,,2,trophies,,H,W
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,IT,ZA,,1,2,trophies,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,LB,ZA,,,3,trophies,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,MX,US,,2,1,trophies,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,MX,ZA,,,3,trophies,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,NA,ZA,XX,,1,trophies,,P,W
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,NA,ZA,,,2,trophies,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,NA,ZA,,3,,trophies,,P,W
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,NO,DK,,,4,live,,Z,C
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,NO,ZA,,4,4,trophies,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,NO,ZA,,3,,trophies,,H,R
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,PL,ZA,,2,4,trophies,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,QA,AE,,6,26,live,,P,C
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,QA,AE,,,2,live,,P,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,RU,ZA,XX,4,,trophies,,H,W
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,RU,ZA,,2,14,trophies,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,SA,US,,,2,trophies,,P,I
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,SK,ZA,,,3,trophies,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,US,MX,,2,2,trophies,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,US,ZA,,,1,trophies,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ZA,LS,,,3,trophies,,,
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ZA,US,,1,,skins,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ZA,US,,1,,skulls,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ZA,US,,1,,trophies,,H,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,AT,ZA,,1,,trophies,,P,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,BE,ZA,,,1,trophies,,H,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,BH,AE,,,4,live,,B,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,BE,XX,,1,leather products (large),,,
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,US,,2,,bodies,,H,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,US,,,3,trophies,,H,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,ZA,,,2,trophies,,H,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CH,ZA,,2,2,trophies,,H,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CN,US,,2,,specimens,,E,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CN,US,,,2,trophies,,P,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CZ,ZA,,3,2,trophies,,H,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CZ,ZA,,1,,trophies,,H,R
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,DE,US,,1,1,trophies,,H,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,DE,ZA,,1,,trophies,,H,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,DE,ZA,,,1,unspecified,,H,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,DK,US,,2,,bodies,,H,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,DK,US,,,2,trophies,,H,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,DK,ZA,XX,1,,trophies,,H,W
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,DK,ZA,,9,6,trophies,,H,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ES,ZA,,6,8,trophies,,H,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,FI,ZA,,,1,trophies,,H,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,FR,US,,,1,trophies,,H,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,FR,ZA,,,5,trophies,,H,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,FR,ZA,,3,,trophies,,P,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,GB,AE,,200,,specimens,ml,S,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,GB,AE,,,200,specimens,,S,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,GB,TN,,150,,specimens,,S,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,GB,ZA,,5,,trophies,,H,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,HU,ZA,,,2,trophies,,H,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,IT,ZA,,,3,trophies,,H,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,KW,AE,,,6,live,,P,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,LB,ZA,,,2,trophies,,H,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,LY,AE,,,2,live,,P,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,LY,AE,,,2,live,,T,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,MX,US,,1,1,trophies,,H,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,MX,ZA,XX,1,,trophies,,H,W
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,MX,ZA,,1,1,trophies,,H,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,MY,ZA,,8,,live,,T,C
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,MY,ZA,,,8,live,,Z,C
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,NO,ZA,,1,,bodies,,H,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,NO,ZA,,5,3,trophies,,H,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,OM,AE,,,2,live,,P,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,QA,AE,,3,3,live,,P,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,QA,AE,,2,2,live,,T,C
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,RU,ZA,,,2,trophies,,H,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,RU,ZA,,2,,trophies,,H,W
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,SA,ZA,XX,1,,trophies,,H,W
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,SA,ZA,,,1,trophies,,H,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,SE,ZA,,15,8,trophies,,H,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,SK,ZA,,2,,horns,,H,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,SK,ZA,,1,1,trophies,,H,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,UA,ZA,,,1,trophies,,H,F
2013,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ZA,US,,1,,trophies,,H,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,AR,US,,,4,trophies,,H,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,AU,LS,,,3,trophies,,,
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,BE,ZA,,2,1,trophies,,H,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,BH,AE,,4,,live,,Z,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,US,,1,,bodies,,H,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,US,,1,,skins,,H,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,US,,2,,trophies,,H,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,ZA,,3,,bodies,,H,W
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,ZA,,1,9,trophies,,H,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,ZA,,3,,trophies,,H,W
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CN,CA,,,1,skins,,P,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CN,CA,,1,,trophies,,P,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CN,XX,,1,,trophies,,P,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CZ,ZA,,,1,trophies,,H,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,DE,ZA,,,1,skulls,,H,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,DE,ZA,,1,1,trophies,,H,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,DK,ZA,XX,1,,trophies,,H,W
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,DK,ZA,,,4,trophies,,H,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ES,IL,,1.5,,specimens,ml,S,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ES,IL,,,1,specimens,,S,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ES,US,,1,1,trophies,,H,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ES,ZA,,1,,bodies,,H,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ES,ZA,,8,11,trophies,,H,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,FI,ZA,,1,,trophies,,H,W
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,FR,ZA,,1,1,trophies,,H,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,FR,ZA,,1,,trophies,,P,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,GB,AE,BH,,4,specimens,,S,C
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,GB,AU,,,31,specimens,,S,C
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,GB,ZA,,,1,trophies,,H,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,HU,ZA,,2,1,trophies,,H,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,HU,ZA,,1,,trophies,,H,W
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,IT,ZA,,,1,trophies,,H,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,LB,ZA,,,3,trophies,,H,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,LV,ZA,,2,,trophies,,H,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,MC,ZA,,,2,trophies,,H,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,MX,ZA,,2,3,trophies,,H,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,NO,ZA,,,1,trophies,,H,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,OM,AE,BH,3,3,live,,P,C
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,OM,AE,,,2,live,,P,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,PT,ZA,,1,1,trophies,,H,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,QA,AE,,,2,live,,T,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,RU,ZA,,,2,trophies,,H,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,RU,ZA,,2,,trophies,,H,W
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,SA,BH,,4,,live,,P,C
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,SE,ZA,,1,3,trophies,,H,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,SK,ZA,,2,,horns,,H,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,SK,ZA,,3,,skins,,H,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,SK,ZA,,3,,skulls,,H,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,SK,ZA,,,1,trophies,,H,F
