Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2012,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,AD,CH,ID,,1,leather products (small),,T,W
2012,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,AD,CH,VN,,6,leather products (small),,T,C
2012,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,AD,ES,ID,,49,leather products (small),,T,W
2012,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,AD,ES,MY,,1,leather products (small),,T,W
2012,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,AD,FR,SG,,3,skins,,T,O
2012,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,AD,IT,ID,,4,leather products (small),,T,W
2012,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,AD,IT,VN,,56,leather products (small),,T,C
2012,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,AE,BR,ID,,613,leather products (small),,T,W
2012,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,AE,CH,ID,,449,leather products (small),,T,W
2012,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,AE,CH,LA,,5,garments,,T,C
2012,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,AE,CH,LA,,411,leather products (small),,T,C
2012,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,AE,CH,MY,,54,leather products (small),,T,W
2012,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,AE,CH,TH,,2,leather products (small),,T,C
2012,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,AE,CH,VN,,4,garments,,T,C
2012,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,AE,CH,VN,,1146,leather products (small),,T,C
2012,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,AE,CH,XX,1,,leather products (small),,T,W
2012,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,AE,CO,ID,,2,leather products (small),,T,W
2012,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,AE,CO,VN,,40,leather products (small),,T,C
2012,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,AE,DE,ID,,33,leather products (small),,T,W
2012,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,AE,DE,ID,,8,skins,,T,W
2012,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,AE,DE,LA,,2,leather products (small),,T,C
2012,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,AE,DE,VN,,6,leather products (small),,T,C
2012,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,AE,DE,XX,20,,leather products (small),,T,W
2012,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,AE,DE,XX,8,,skins,,P,W
2012,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,AE,ES,ID,,178,leather products (small),,T,W
2012,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,AE,ES,LA,,1,leather products (small),,T,C
2012,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,AE,ES,,12,,leather products (small),,T,C
2012,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,AE,FR,ID,,4,garments,,T,W
2012,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,AE,FR,ID,,1,leather products (large),,T,W
2012,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,AE,FR,ID,,1,leather products (small),m2,T,W
2012,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,AE,FR,ID,,413.66668,leather products (small),,T,W
2012,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,AE,FR,LA,,6,leather products (large),,T,C
2012,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,AE,FR,LA,1,658,leather products (small),,T,C
2012,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,AE,FR,LA,,3,leather products (small),,T,W
2012,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,AE,FR,MY,,20,leather products (small),,T,W
2012,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,AE,FR,TH,,17,leather products (small),,T,C
2012,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,AE,FR,VN,,3,garments,,T,C
2012,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,AE,FR,VN,,10,leather products (large),,T,C
2012,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,AE,FR,VN,,1221.16663,leather products (small),,T,C
2012,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,AE,FR,VN,,2,skin pieces,,T,C
2012,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,AE,FR,XX,,7,leather products (small),,T,U
2012,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,AE,FR,XX,327,,leather products (small),,T,W
