Ranking,Taxonomic Group,Quantity,Kingdom,Phylum,Class,Order,Family,Genus,Taxon,Filters
1,Caiman crocodilus fuscus,58062,Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,Caiman crocodilus fuscus,Reported by exporter; Date range - 2021 - 2022; Unit - Number of specimens; Origin - Direct; 
2,Caretta caretta,2183,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Caretta,Caretta caretta,Reported by exporter; Date range - 2021 - 2022; Unit - Number of specimens; Origin - Direct; 
3,Boa constrictor,1400,Animalia,Chordata,Reptilia,Serpentes,Boidae,Boa,Boa constrictor,Reported by exporter; Date range - 2021 - 2022; Unit - Number of specimens; Origin - Direct; 
4,Testudo horsfieldii,1100,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Testudo,Testudo horsfieldii,Reported by exporter; Date range - 2021 - 2022; Unit - Number of specimens; Origin - Direct; 
5,Chelonoidis carbonarius,860,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Chelonoidis,Chelonoidis carbonarius,Reported by exporter; Date range - 2021 - 2022; Unit - Number of specimens; Origin - Direct; 
6,Uromastyx ocellata,750,Animalia,Chordata,Reptilia,Sauria,Agamidae,Uromastyx,Uromastyx ocellata,Reported by exporter; Date range - 2021 - 2022; Unit - Number of specimens; Origin - Direct; 
7,Holothuria fuscogilva,594,Animalia,Echinodermata,Holothuroidea,Holothuriida,Holothuriidae,Holothuria,Holothuria fuscogilva,Reported by exporter; Date range - 2021 - 2022; Unit - Number of specimens; Origin - Direct; 
8,Stigmochelys pardalis,450,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Stigmochelys,Stigmochelys pardalis,Reported by exporter; Date range - 2021 - 2022; Unit - Number of specimens; Origin - Direct; 
9,Uromastyx dispar,440,Animalia,Chordata,Reptilia,Sauria,Agamidae,Uromastyx,Uromastyx dispar,Reported by exporter; Date range - 2021 - 2022; Unit - Number of specimens; Origin - Direct; 
10,Crocodylus intermedius,288,Animalia,Chordata,Reptilia,Crocodylia,Crocodylidae,Crocodylus,Crocodylus intermedius,Reported by exporter; Date range - 2021 - 2022; Unit - Number of specimens; Origin - Direct; 
11,Chlorocebus pygerythrus,256,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Chlorocebus,Chlorocebus pygerythrus,Reported by exporter; Date range - 2021 - 2022; Unit - Number of specimens; Origin - Direct; 
12,Falco biarmicus,249,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco biarmicus,Reported by exporter; Date range - 2021 - 2022; Unit - Number of specimens; Origin - Direct; 
13,Chlorocebus sabaeus,200,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Chlorocebus,Chlorocebus sabaeus,Reported by exporter; Date range - 2021 - 2022; Unit - Number of specimens; Origin - Direct; 
14,Poicephalus meyeri,200,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Poicephalus,Poicephalus meyeri,Reported by exporter; Date range - 2021 - 2022; Unit - Number of specimens; Origin - Direct; 
15,Acipenser gueldenstaedtii,195,Animalia,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,Acipenser gueldenstaedtii,Reported by exporter; Date range - 2021 - 2022; Unit - Number of specimens; Origin - Direct; 
16,Potamotrygon schroederi,118,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Potamotrygonidae,Potamotrygon,Potamotrygon schroederi,Reported by exporter; Date range - 2021 - 2022; Unit - Number of specimens; Origin - Direct; 
17,Holothuria nobilis,114,Animalia,Echinodermata,Holothuroidea,Holothuriida,Holothuriidae,Holothuria,Holothuria nobilis,Reported by exporter; Date range - 2021 - 2022; Unit - Number of specimens; Origin - Direct; 
18,Felis margarita,105,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis margarita,Reported by exporter; Date range - 2021 - 2022; Unit - Number of specimens; Origin - Direct; 
19,Potamotrygon motoro,80,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Potamotrygonidae,Potamotrygon,Potamotrygon motoro,Reported by exporter; Date range - 2021 - 2022; Unit - Number of specimens; Origin - Direct; 
